readId	equalMatches
1076:1553|92909d9a-9a3e-4d64-8edf-30b9e2a34b51	27
132:609|bbd4456d-ed27-4fc2-8570-46363094996f	27
135:604|21124ee9-f1fb-437a-a4dc-7efe5ea3e8e5	27
116:589|ee320a00-ce01-46b0-9841-3b65344e9d5b	27
106:594|d8aa7ef9-5b0a-4772-8b42-668e05895692	27
112:584|aeac7b59-a8b9-425a-8692-6a5b11ab9c95	27
100:853|e64bff9f-82f3-4d73-b636-f6b5206bef4d	27
98:581|8240b315-3aa5-4349-aa91-82630f3bfa9c	27
104:594|39d8a7a1-421f-4067-8017-efd278b2238a	27
141:619|90c161ed-6421-4459-b834-213bb44c0b9e	27
105:590|bf4ca52c-28be-4b97-a6b4-9309e5ce7082	27
107:529|8ca1202a-4da5-4304-a9a2-81d9007376f5	27
140:895|344db251-8778-4dfe-b14d-df00a767c2e4	27
109:2867|7919014d-ef1e-4bc6-a4cd-b70e3b824dc3	29
138:993|e666b790-4707-45bf-aa82-7b40789f57a8	29
105:947|7c07b8b1-36e2-43c7-b5a7-1950127f1d2d	29
110:983|7ff2843e-9674-457d-8214-b29abf50f873	29
132:967|b1d1f8b4-add1-4318-a255-470306a22697	29
130:894|410049ae-17cc-420d-a424-b93328d6886c	29
109:880|a612bb53-fd29-4302-b41b-c529b6770b95	29
128:875|e8f54070-63da-4b85-9d41-11ee12874388	29
133:878|c44c89dd-4297-4595-a5e6-eaec7654373d	29
128:865|8e6b4c81-17a1-464e-88ea-73b74a62b1e7	29
112:858|ba308455-e7bb-43b1-b6f5-b79a3e6446ac	29
109:868|ae495d9f-ad59-4e75-b5f9-e910922cadf3	29
108:873|430b0938-f204-46ba-a82d-f826f7fc89a5	29
111:879|7a6e4f20-0a35-485e-8d1b-0f3f9517e915	29
107:851|649054f9-2eab-4197-a6cc-b9a99a96a0cd	29
111:413|042e0821-95bb-44fd-9bc3-49b0cef588bc	33
138:420|8fc77fec-dd19-424f-abd2-ac5f35382247	33
113:467|2716b889-298f-4e00-860d-2068570b181b	34
111:469|50139de6-f0bc-44da-aa1c-5445ed7932ef	34
114:411|b3a5fea4-4a89-4eac-83c0-6097bcc32577	33
127:411|7ae37d25-71e5-453b-bde4-a85aa3c5fab0	33
131:330|72f6aa91-9519-4c51-b6a3-b9fa6ff75539	34
306:587|299ead64-de23-4d89-ac36-aaf3a2d0254d	34
118:430|e4d1318d-c78d-4d75-a48a-1d7c70527a0f	33
128:483|74e248af-0728-46aa-81d6-eae806d62ffc	33
107:407|ac9e6f44-7c34-47c7-ba9d-19956c35aeb0	33
113:484|4f5e542b-46f8-44ce-973a-f70fcae86c10	33
127:387|ec438474-9931-4ff4-9ba7-dbddbc523c3d	33
133:381|682ad429-84f1-4e9d-9f87-1f29ff1cdc7c	33
136:477|dd63628c-4c83-4bd4-810b-14b9b1f68008	34
132:372|b78d877d-995f-4976-b307-ecea5379a582	33
150:353|13dda2bb-65ca-4b79-932a-fdd9b42cc866	34
125:455|75360cf5-d8ca-4859-b673-c26b81545404	34
135:417|55af1425-a533-47f4-9f79-0a98e39216d1	34
115:1901|9df3f377-2a4a-41de-a5be-ec41b43b2deb	41
105:1785|5b72cd19-2788-4725-ac0b-97022a50144b	41
116:1788|05afca67-015e-4bdf-a94a-f81bcefd4e5d	41
116:1805|77efcc85-a569-4e2d-b722-842fd90fb7ae	41
133:1940|a5e3e86e-35a9-4ffc-886b-5bce524a6fa2	41
125:1925|763305ac-ffe4-4e4f-a631-832fa69b258b	41
132:1951|02d56c34-85a8-4125-81bd-1ebcdbac34e4	41
137:1933|51dc613a-1be3-4c54-9630-44d66c6c9e5a	41
110:1778|81340b1a-0b69-4619-b2cb-4b439408513e	41
129:1942|910de85f-7199-4671-a165-e3fd9b431db1	41
124:1801|6656a9d7-38e8-4000-a323-175fa20b9629	41
109:1907|97b99d08-f193-4385-a989-267d36c82590	41
138:790|bdcf0e83-7c6b-4d75-8983-b5ca42a04074	42
127:809|b1752005-26cd-45e1-98ac-14768051ce39	42
144:766|b46af5e6-0e66-4792-bdbc-c95cce1881c2	42
134:793|445901a8-447a-44bb-b745-6e4e39d85f89	42
130:775|535b5637-9e9a-4122-9e56-819da8dbf804	42
124:766|a0bec875-322a-4250-8eab-c2b11482d25f	42
135:710|a5e8e77f-d7a6-4d68-9d17-bdca6205bab8	42
129:707|38462b9a-0599-4fb0-8bcd-de9234118454	42
230:792|1187be9f-4329-41c5-b783-deeeb3dc4af3	42
137:374|90ef1ca9-8dc7-4df9-b056-e7aa83261400	43
132:397|236a5de1-bf52-4a3b-9256-28d4fbe22dce	43
126:406|5e5025fb-02b9-433c-85a1-d02b8a0658cb	43
125:409|8c1db81d-0ff3-4e83-84e9-ecf00b2d266f	43
129:381|2428bf40-2a1f-4afc-b346-ce6d9f58aa7a	43
140:389|a9574006-7b0c-424c-8cb7-2f8fa1e2a580	43
135:426|0b2e726b-011c-4574-aa5e-6bed07c61545	43
127:351|17df98bc-d3f6-4cc1-9765-51e04df37942	43
134:390|931ec7d3-18f7-48db-a807-327a54ba2c3c	43
127:344|00babeaa-a6af-4158-8386-965c83a0c3dc	43
135:397|a5483a69-31da-4084-b64b-7b75fa44cc77	43
135:366|201e91b3-2877-49d3-8651-450c6d88003b	43
134:384|1056e60b-301c-4b80-a68c-7ef77b1289ef	43
131:407|d31aa851-26b4-4bab-939b-a2ec09c7bec4	43
139:401|99ce58ab-a1d0-493e-9300-6a84ad9e999a	43
133:354|75bd9cf5-5396-4832-810d-90ad759099dd	43
139:365|3768fc37-7ef5-4e14-b7aa-c0a0f8e7f9a7	43
130:364|3f0e6189-4de2-4da3-8834-50d7ee2f3944	43
134:357|11bd57e6-10f4-4522-98f8-e96be61530a8	43
133:358|42717c84-b49d-4ac4-9422-15cb1f3157fc	43
2327:2560|44905328-1e6a-453c-86a5-faa409a1dec2	43
130:360|a8e53804-8dc4-4380-a951-392040daea43	43
131:379|7f3207f8-a4a6-4923-ad57-9be9aee45fd5	43
138:351|adc6f394-92c8-4bea-a0c4-826852a34c4d	43
129:378|f2c31f33-41be-40d6-8948-4e8381b8c57d	43
134:359|5d43c2c1-40ca-4f3e-9f3f-0b125cee2231	43
133:367|ebff4bd4-7a7d-4547-8593-292dd2be3cf3	43
107:344|b439f2d3-5311-44d4-8955-6c1fe01d711f	43
145:342|8e4c3843-0107-442e-a9ed-b11bb5e2dbfb	43
136:331|93aee1b5-bd4b-43a6-afd5-fae6770fb6f7	43
129:330|0fa8fcff-7d9b-401d-b377-14bffa9c8117	43
129:358|0711ad3f-21b6-4952-a715-de4be95b080d	43
132:350|0b108821-f9e7-4cce-8c86-811a365dd8b3	43
139:366|1f4314c2-e64c-4fab-a442-938542ac54ad	43
131:331|e885829d-e4d2-42e1-a4e1-21210047f74d	43
129:331|d0fdb15e-bf87-4771-9da2-5544b42b046f	43
129:334|65c15c80-9899-4b12-816e-6d94f3a27c61	43
127:386|33050d8c-5a08-4e8a-a874-5908dddfd054	43
112:395|fd82e6d9-3211-45f3-9025-4beddca5a077	43
134:369|737caf89-f214-4d2c-be64-7c50bab6fc62	43
134:315|cd338bea-0bf2-4881-9cec-665919321075	43
142:329|3e56c9a3-64ac-4714-9891-5b3824180e79	43
129:317|a3682d4b-8712-459f-b97f-047729be5482	43
