readId	equalMatches
132:562|28573348-b36e-4879-9877-60612c7ff021	16
129:579|276635da-d7c0-4fef-b976-1f4b8eccf865	16
136:806|c8ee43b2-f252-45e8-8b41-646f24a66e89	16
127:754|d9d6ceaa-ac25-41cb-b0d8-f1e7a78c2cbb	16
139:763|53e3d77b-200a-4492-818b-d02e5ec786a3	16
126:830|71013056-4e1c-48ce-9cab-ec193bab1105	16
126:766|95fe5276-58f2-456b-98d0-e1718d5ac4e0	16
126:833|ee7484db-2028-4146-930f-0acd79406e20	16
144:777|75ef5eb8-f30b-4ae4-8d3c-527a00296191	16
127:792|9d248590-f265-442e-bc40-127a27e9f132	16
131:827|42035072-e39e-4062-8ac4-ac03fe4e155b	16
129:783|83010e2b-43f4-4910-a4d8-8b4249948a53	16
133:580|7c2f34e7-a7d7-469e-89b9-bf6580df2d43	16
136:1482|2a40d831-bbd4-4c17-9e14-28a067b7834a	17
133:1519|7a8b10b1-56ef-491a-b926-261449d7a909	17
126:1498|4c22a251-d9af-4d5b-9254-b79b3be3179e	17
111:1483|fc7f093b-ebc4-47e1-87dd-5e6998dee2f9	17
140:1445|04b49b0e-c1a1-4951-b022-8700552bc15a	17
130:1528|c017b4d1-4790-4fe5-8535-09e7814ed352	17
142:1718|537b8739-c2f6-4fd0-bdaf-a587e5d3ace6	17
320:1632|382a3e23-670b-45c0-8976-b41f143fc561	17
113:1729|0740bd47-4a0b-4a0d-a80c-d48ffa3b4b5b	17
142:1741|047e157d-fa15-4e73-b354-27c7754f4b8a	17
128:1711|639b8248-e648-4224-b24e-c5ce37660171	17
131:1902|a525aa4e-4b26-4147-bce5-e7c205fd7b97	17
130:1940|0d31fa97-eb11-4662-a463-0228a3c60a75	17
115:1365|64e2774e-9e38-4892-afab-3e98ddb653c6	17
131:1385|bd03fee0-0404-427a-984b-1bd9092cc52c	17
127:1274|e6931212-fe22-4567-add2-f8dbf53cd2ad	17
136:1286|6225d00c-776f-40b3-a44c-80ac2184fed7	17
127:722|48fdc23c-1c1a-44e1-a10f-162a80736ea6	18
138:714|ee46e40e-d5fc-427c-8000-17e73e065185	18
137:718|f565c0f6-9485-4524-840e-8202c746e03a	18
143:761|12f75de2-6aeb-4373-bcde-4b8faf9d66be	18
133:711|b69dc8e1-0919-4578-9d25-990711b916bf	18
126:700|b63b2e13-6994-4a5c-b32e-2c3d71d9c7ee	18
143:641|65ff181d-2040-4d44-a05b-22abe57a9aaf	18
137:604|e760ed3c-a6aa-4830-beed-e6b13e40932a	18
113:592|97a81740-35a0-4819-a239-9b6d967ffb72	18
138:632|7240d040-4e0a-4548-a488-72adc6451e99	18
130:607|9929ba1c-acf6-4c84-ac07-51fd0b9f5450	18
